price,bed,full_bath,half_bath,property_area,years_old,distance_downtown,lot_size,basement,garage,walk_score,bike_score,transit_score,house,condo,townhouse
318000,3.0,2.0,1.0,1158.0,25.0,9.16,1158.0,1.0,0.0,67,67,57,0,0,1
399900,5.0,3.0,0.0,1267.0,11.0,10.98,3988.0,1.0,1.0,32,61,40,1,0,0
614800,5.0,3.0,0.0,1932.0,13.0,13.28,6814.0,1.0,1.0,28,66,53,1,0,0
649900,4.0,3.0,1.0,1927.0,0.0,9.7,4758.0,1.0,1.0,58,64,36,1,0,0
325000,3.0,2.0,1.0,1229.0,6.0,13.86,1334.0,0.0,1.0,0,45,41,0,0,1
365000,3.0,2.0,1.0,1357.0,17.0,11.17,3488.0,1.0,0.0,57,75,45,1,0,0
259900,2.0,2.0,0.0,862.0,59.0,14.61,862.0,0.0,0.0,0,38,0,0,1,0
233800,2.0,2.0,0.0,697.0,13.0,14.62,697.0,0.0,0.0,0,38,0,0,1,0
199000,2.0,2.0,0.0,750.0,15.0,13.44,750.0,0.0,1.0,53,62,42,0,1,0
285000,3.0,1.0,1.0,1108.0,61.0,13.33,1420.0,1.0,1.0,28,42,42,0,0,1
384900,5.0,2.0,1.0,1098.0,39.0,12.68,3100.0,1.0,0.0,50,70,61,1,0,0
209900,2.0,1.0,0.0,904.0,109.0,1.96,904.0,0.0,1.0,78,97,70,0,1,0
589900,3.0,2.0,1.0,2340.0,37.0,18.12,4876.0,1.0,1.0,8,42,37,1,0,0
642500,4.0,3.0,1.0,2107.0,15.0,16.77,4058.0,1.0,1.0,39,69,30,1,0,0
374500,3.0,2.0,0.0,895.0,45.0,16.01,3369.0,1.0,1.0,28,62,39,1,0,0
388800,3.0,2.0,1.0,1326.0,41.0,8.59,1326.0,0.0,1.0,31,70,40,0,0,1
549900,4.0,3.0,0.0,1430.0,15.0,12.91,6286.0,1.0,1.0,14,63,28,1,0,0
529990,5.0,4.0,1.0,2402.0,42.0,12.17,4748.0,1.0,1.0,16,52,38,1,0,0
920000,5.0,4.0,1.0,2630.0,16.0,16.96,6329.0,1.0,1.0,15,48,45,1,0,0
539900,5.0,3.0,1.0,2281.0,14.0,12.34,5264.0,1.0,1.0,21,63,38,1,0,0
404900,3.0,2.0,1.0,1470.0,68.0,14.13,3595.0,1.0,1.0,3,61,42,1,0,0
725000,3.0,2.0,1.0,1930.0,14.0,6.94,8891.0,1.0,1.0,49,80,63,1,0,0
284900,2.0,2.0,0.0,810.0,63.0,7.32,810.0,0.0,0.0,55,86,56,0,1,0
299900,2.0,2.0,0.0,804.0,9.0,7.32,804.0,0.0,0.0,55,86,56,0,1,0
379000,2.0,2.0,0.0,853.0,13.0,1.17,853.0,0.0,0.0,91,83,54,0,1,0
